poi_type,aspect,mentions,avg_sentiment,positive,negative,neutral
"tourist_attraction,museum",ice cream,6,0.22,4,0,2
"tourist_attraction,museum",chinatown,5,0.19,5,0,0
"tourist_attraction,museum",’ re,5,0.3,5,0,0
"tourist_attraction,museum",highly,5,0.31,5,0,0
"tourist_attraction,museum",english,4,0.1,2,0,2
"tourist_attraction,museum",overall,4,0.23,4,0,0
amusement_park,’ s,19,0.19,16,0,3
amusement_park,shrek,8,0.28,8,0,0
amusement_park,young children,6,0.23,6,0,0
amusement_park,singapore,6,0.29,6,0,0
amusement_park,atv,6,0.08,1,0,5
amusement_park,clusia cove,5,0.21,5,0,0
amusement_park,playground,5,0.23,5,0,0
amusement_park,’ re,5,0.15,3,0,2
amusement_park,overall,5,0.26,5,0,0
amusement_park,vr,5,0.13,2,0,3
school,thank,480,0.32,447,2,31
school,’ s,375,0.29,344,4,27
school,highly,192,0.32,183,0,9
school,’ ve,173,0.3,167,0,6
school,english,139,0.25,127,0,12
school,overall,128,0.28,120,0,8
school,thanks,104,0.3,96,0,8
school,singapore,96,0.29,84,0,12
school,’ m,96,0.26,84,1,11
school,k2,91,0.26,83,1,7
library,’ s,20,0.29,19,0,1
library,singapore,11,0.21,10,0,1
library,orchard,9,0.19,9,0,0
library,located,7,0.2,6,0,1
library,library @,7,0.22,7,0,0
library,nice,6,0.35,6,0,0
library,jurong,5,0.25,5,0,0
library,level,5,-0.05,0,0,5
library,whether,4,0.29,4,0,0
library,nlb,4,0.18,4,0,0
shopping_mall,’ s,173,0.21,136,9,28
shopping_mall,singapore,127,0.25,104,1,22
shopping_mall,mrt,54,0.23,44,1,9
shopping_mall,food court,52,0.21,41,3,8
shopping_mall,orchard,43,0.28,41,0,2
shopping_mall,overall,40,0.22,36,1,3
shopping_mall,nice,40,0.37,38,0,2
shopping_mall,’ re,36,0.27,33,0,3
shopping_mall,great place,34,0.35,33,0,1
shopping_mall,whether,30,0.3,30,0,0
"furniture_store,home_goods_store,museum,store",wo n't regret,2,0.5,2,0,0
"furniture_store,home_goods_store,museum,store",‘ museum ’,1,0.57,1,0,0
"furniture_store,home_goods_store,museum,store",‘ garang kuni store ’,1,0.57,1,0,0
"furniture_store,home_goods_store,museum,store",vintage pieces,1,0.57,1,0,0
"furniture_store,home_goods_store,museum,store",visited treasure,1,0.44,1,0,0
"furniture_store,home_goods_store,museum,store",instagram,1,0.44,1,0,0
"furniture_store,home_goods_store,museum,store",beautiful pieces,1,0.44,1,0,0
"furniture_store,home_goods_store,museum,store",staff care,1,0.44,1,0,0
"furniture_store,home_goods_store,museum,store",'s history,1,0.44,1,0,0
"furniture_store,home_goods_store,museum,store",rare vintage/antique,1,0.56,1,0,0
"cafe,store,food",’ s,160,0.16,95,17,48
"cafe,store,food",ordered,84,0.12,47,13,24
"cafe,store,food",coffee shop,68,0.2,48,4,16
"cafe,store,food",will,68,0.15,47,5,16
"cafe,store,food",overall,51,0.18,38,3,10
"cafe,store,food",’ t,49,0.01,17,13,19
"cafe,store,food",singapore,48,0.23,34,0,14
"cafe,store,food",coffee,44,0.23,32,2,10
"cafe,store,food",highly,44,0.3,41,0,3
"cafe,store,food",love,43,0.32,40,0,3
"bakery,restaurant,food,store",thank,5,0.43,5,0,0
"bakery,restaurant,food,store",ordered,4,0.05,1,0,3
"bakery,restaurant,food,store",tiao,4,0.36,4,0,0
"bakery,restaurant,food,store",highly,3,0.45,3,0,0
"bakery,restaurant,food,store",will,3,0.16,2,0,1
"bakery,restaurant,food,store",sticky bun,2,0.16,2,0,0
"bakery,restaurant,food,store",nice,2,0.37,2,0,0
"bakery,restaurant,food,store",uncle,2,0.43,2,0,0
"bakery,restaurant,food,store",bought,2,0.38,2,0,0
"bakery,restaurant,food,store",gi,2,0.39,2,0,0
"shopping_mall,restaurant,food",como,4,-0.11,0,3,1
"shopping_mall,restaurant,food",como cuisine,2,-0.03,0,0,2
"shopping_mall,restaurant,food",lobby attendants,2,-0.12,0,2,0
"shopping_mall,restaurant,food",beautiful,1,0.85,1,0,0
"shopping_mall,restaurant,food",heritage building,1,0.85,1,0,0
"shopping_mall,restaurant,food",carpark,1,-0.1,0,0,1
"shopping_mall,restaurant,food",basement levels,1,-0.1,0,0,1
"shopping_mall,restaurant,food",b1,1,-0.1,0,0,1
"shopping_mall,restaurant,food",b2,1,-0.1,0,0,1
"shopping_mall,restaurant,food",hotel lobby,1,-0.1,0,0,1
"convenience_store,store,food",shopee,15,-0.02,4,2,9
"convenience_store,store,food",’ s,14,0.16,13,0,1
"convenience_store,store,food",please,12,-0.12,2,5,5
"convenience_store,store,food",singapore,9,0.16,6,2,1
"convenience_store,store,food",friendly,8,0.31,7,0,1
"convenience_store,store,food",collection point,7,-0.01,2,1,4
"convenience_store,store,food",’ ve,5,-0.03,2,1,2
"convenience_store,store,food",myanmar,5,0.53,5,0,0
"convenience_store,store,food",parcel collection,5,-0.07,0,0,5
"convenience_store,store,food",don,5,-0.11,2,2,1
"bar,food",overall,4,0.12,3,1,0
"bar,food",wine,4,0.34,4,0,0
"bar,food",’ s,3,0.11,2,1,0
"bar,food",came,3,0.06,1,1,1
"bar,food",joe,3,0.43,3,0,0
"bar,food",happy hour,2,0.32,2,0,0
"bar,food",been,2,0.22,1,0,1
"bar,food",ioi,2,-0.12,0,1,1
"bar,food",service process,2,0.16,2,0,0
"bar,food",butcher side,2,0.16,2,0,0
"cafe,food,store",’ s,335,0.18,231,25,79
"cafe,food,store",ordered,182,0.09,88,38,56
"cafe,food,store",will,143,0.17,94,19,30
"cafe,food,store",coffee shop,141,0.16,89,11,41
"cafe,food,store",overall,118,0.16,83,5,30
"cafe,food,store",singapore,93,0.22,70,7,16
"cafe,food,store",tried,83,0.18,60,6,17
"cafe,food,store",nice,81,0.35,71,1,9
"cafe,food,store",highly,81,0.27,71,1,9
"cafe,food,store",coffee,80,0.2,57,7,16
"hospital,health",thank,105,0.29,95,0,10
"hospital,health",’ s,93,0.16,60,5,28
"hospital,health",highly,68,0.31,64,0,4
"hospital,health",tcm,48,0.2,35,2,11
"hospital,health",’ m,46,0.24,36,0,10
"hospital,health",’ ve,43,0.23,37,1,5
"hospital,health",clinic,40,0.22,32,1,7
"hospital,health",’ t,29,0.07,8,1,20
"hospital,health",singapore,28,0.14,15,5,8
"hospital,health",went,27,0.25,22,1,4
bar,’ s,88,0.25,73,1,14
bar,nice,50,0.42,48,1,1
bar,singapore,42,0.29,33,2,7
bar,great place,35,0.54,35,0,0
bar,highly,33,0.44,33,0,0
bar,’ re,28,0.24,22,1,5
bar,will,26,0.34,25,0,1
bar,good place,24,0.44,22,0,2
bar,overall,20,0.31,18,0,2
bar,love,20,0.35,20,0,0
"convenience_store,food,store",shopee,29,-0.05,6,12,11
"convenience_store,food,store",’ s,28,0.13,14,2,12
"convenience_store,food,store",cheers,15,0.19,9,1,5
"convenience_store,food,store",please,15,0.06,3,2,10
"convenience_store,food,store",don ’ t,15,-0.04,2,3,10
"convenience_store,food,store",customer service,13,0.03,4,7,2
"convenience_store,food,store",collection point,12,-0.07,3,5,4
"convenience_store,food,store",singapore,11,0.12,5,4,2
"convenience_store,food,store",convenience store,10,0.16,6,0,4
"convenience_store,food,store",staff,10,0.0,3,3,4
"cafe,food",’ s,289,0.23,225,13,51
"cafe,food",overall,113,0.23,90,3,20
"cafe,food",will,104,0.25,85,3,16
"cafe,food",nice,78,0.32,67,0,11
"cafe,food",ordered,75,0.14,47,10,18
"cafe,food",coffee,71,0.3,62,2,7
"cafe,food",’ ve,71,0.2,53,4,14
"cafe,food",love,71,0.34,68,0,3
"cafe,food",staff,68,0.24,57,4,7
"cafe,food",highly,58,0.38,56,0,2
lodging,singapore,208,0.26,179,9,20
lodging,’ s,126,0.19,87,6,33
lodging,overall,83,0.24,71,0,12
lodging,mrt,70,0.22,52,3,15
lodging,* *,52,0.19,41,1,10
lodging,rooms,49,0.17,35,3,11
lodging,location,47,0.23,41,2,4
lodging,staff,46,0.21,36,5,5
lodging,highly,32,0.37,32,0,0
lodging,thank,31,0.32,30,0,1
"church,place_of_worship",god,125,0.31,98,2,25
"church,place_of_worship",singapore,37,0.34,34,0,3
"church,place_of_worship",’ s,30,0.25,23,1,6
"church,place_of_worship",english,20,0.16,11,0,9
"church,place_of_worship",beautiful,19,0.6,19,0,0
"church,place_of_worship",christ,18,0.3,15,0,3
"church,place_of_worship",thank,17,0.32,14,0,3
"church,place_of_worship",great place,16,0.67,16,0,0
"church,place_of_worship",bible,15,0.31,12,0,3
"church,place_of_worship",nice,15,0.46,14,0,1
"bar,restaurant,food",’ s,118,0.29,103,0,15
"bar,restaurant,food",overall,69,0.27,60,1,8
"bar,restaurant,food",highly,60,0.38,58,0,2
"bar,restaurant,food",will,52,0.3,50,0,2
"bar,restaurant,food",singapore,50,0.32,41,0,9
"bar,restaurant,food",nice,36,0.39,35,0,1
"bar,restaurant,food",’ re,34,0.32,33,0,1
"bar,restaurant,food",love,31,0.36,29,0,2
"bar,restaurant,food",definitely,29,0.34,25,0,4
"bar,restaurant,food",’ t,28,0.29,23,1,4
night_club,singapore,11,0.36,9,0,2
night_club,’ s,9,0.24,7,0,2
night_club,marquee,9,0.35,9,0,0
night_club,’ ve,7,0.13,4,0,3
night_club,great time,6,0.42,6,0,0
night_club,will,6,0.34,5,0,1
night_club,ethan,5,0.44,5,0,0
night_club,rumours,5,0.2,4,0,1
night_club,bangla,5,0.08,0,0,5
night_club,didn ’ t,4,0.13,3,0,1
"restaurant,cafe,store,food",kway chap,6,0.29,6,0,0
"restaurant,cafe,store,food",’ ve,4,0.24,4,0,0
"restaurant,cafe,store,food",hot water,4,-0.08,0,0,4
"restaurant,cafe,store,food",ordered,3,0.22,3,0,0
"restaurant,cafe,store,food",’ s,3,0.14,3,0,0
"restaurant,cafe,store,food",coffee shop,3,0.16,2,0,1
"restaurant,cafe,store,food",nourish,3,0.5,3,0,0
"restaurant,cafe,store,food",jurong,2,0.35,2,0,0
"restaurant,cafe,store,food",soup,2,0.38,2,0,0
"restaurant,cafe,store,food",chicken tikka biriyani,2,0.12,2,0,0
"supermarket,grocery_or_supermarket,food,store",’ s,51,0.18,37,3,11
"supermarket,grocery_or_supermarket,food,store",fairprice,31,0.11,16,6,9
"supermarket,grocery_or_supermarket,food,store",singapore,17,0.2,12,1,4
"supermarket,grocery_or_supermarket,food,store",ntuc,14,0.26,11,0,3
"supermarket,grocery_or_supermarket,food,store",thank,14,0.26,11,0,3
"supermarket,grocery_or_supermarket,food,store",china,13,0.2,9,0,4
"supermarket,grocery_or_supermarket,food,store",’ t,13,-0.02,4,5,4
"supermarket,grocery_or_supermarket,food,store",scarlett supermarket,11,0.16,8,0,3
"supermarket,grocery_or_supermarket,food,store",bought,11,-0.06,2,5,4
"supermarket,grocery_or_supermarket,food,store",prices,11,0.27,9,0,2
art_gallery,’ s,37,0.27,31,0,6
art_gallery,singapore,26,0.33,24,0,2
art_gallery,highly,18,0.31,17,0,1
art_gallery,art,17,0.29,14,0,3
art_gallery,love,9,0.46,9,0,0
art_gallery,nice,9,0.59,9,0,0
art_gallery,great place,9,0.53,9,0,0
art_gallery,went,8,0.2,6,0,2
art_gallery,thank,8,0.34,8,0,0
art_gallery,louis,8,0.37,8,0,0
"restaurant,cafe,food",’ s,15,0.15,8,1,6
"restaurant,cafe,food",overall,13,0.22,8,1,4
"restaurant,cafe,food",ordered,8,0.2,4,1,3
"restaurant,cafe,food",wawawa,8,0.33,8,0,0
"restaurant,cafe,food",will,8,0.25,7,0,1
"restaurant,cafe,food",fish,7,0.15,4,0,3
"restaurant,cafe,food",curry chicken,6,0.11,2,0,4
"restaurant,cafe,food",definitely,5,0.18,4,0,1
"restaurant,cafe,food",’ t,5,0.25,4,0,1
"restaurant,cafe,food",’ ve,5,0.24,4,0,1
"cafe,restaurant,food",’ s,47,0.28,41,1,5
"cafe,restaurant,food",overall,21,0.19,14,0,7
"cafe,restaurant,food",’ re,19,0.28,16,2,1
"cafe,restaurant,food",will,17,0.27,14,1,2
"cafe,restaurant,food",ordered,16,0.17,13,2,1
"cafe,restaurant,food",nasi lemak,16,0.24,9,1,6
"cafe,restaurant,food",highly,14,0.35,14,0,0
"cafe,restaurant,food",singapore,13,0.24,10,0,3
"cafe,restaurant,food",definitely,10,0.3,10,0,0
"cafe,restaurant,food",don ’ t,10,0.14,5,2,3
"night_club,bar",’ s,40,0.24,30,0,10
"night_club,bar",sound system,28,0.37,26,0,2
"night_club,bar",singapore,27,0.3,25,1,1
"night_club,bar",overall,26,0.24,22,0,4
"night_club,bar",great place,21,0.46,21,0,0
"night_club,bar",nice,19,0.47,19,0,0
"night_club,bar",will,19,0.34,17,0,2
"night_club,bar",highly,19,0.39,18,0,1
"night_club,bar",staff,13,0.36,12,0,1
"night_club,bar",definitely,13,0.3,12,0,1
"meal_takeaway,restaurant,food",’ s,159,0.21,109,14,36
"meal_takeaway,restaurant,food",ordered,63,0.07,27,15,21
"meal_takeaway,restaurant,food",will,48,0.25,40,1,7
"meal_takeaway,restaurant,food",overall,47,0.24,40,3,4
"meal_takeaway,restaurant,food",singapore,47,0.26,36,3,8
"meal_takeaway,restaurant,food",highly,47,0.3,45,1,1
"meal_takeaway,restaurant,food",’ t,47,0.1,23,7,17
"meal_takeaway,restaurant,food",tried,34,0.22,26,3,5
"meal_takeaway,restaurant,food",’ m,33,0.22,27,2,4
"meal_takeaway,restaurant,food",’ re,31,0.23,27,0,4
"shopping_mall,convenience_store,food,store",rail,4,0.12,4,0,0
"shopping_mall,convenience_store,food,store",hillv2,3,0.12,3,0,0
"shopping_mall,convenience_store,food,store",cold storage,2,0.12,2,0,0
"shopping_mall,convenience_store,food,store",unique,1,0.56,1,0,0
"shopping_mall,convenience_store,food,store",mall design,1,0.56,1,0,0
"shopping_mall,convenience_store,food,store",interesting murals,1,0.56,1,0,0
"shopping_mall,convenience_store,food,store",lots,1,0.56,1,0,0
"shopping_mall,convenience_store,food,store",great place,1,0.56,1,0,0
"shopping_mall,convenience_store,food,store",rail corridor,1,0.56,1,0,0
"shopping_mall,convenience_store,food,store",interesting neighbourhood,1,0.07,0,0,1
"atm,finance",atm,54,0.04,15,7,32
"atm,finance",located,15,0.06,5,1,9
"atm,finance",’ s,14,0.17,6,1,7
"atm,finance",scb,12,-0.06,0,0,12
"atm,finance",dbs,9,0.1,2,2,5
"atm,finance",singapore,9,0.04,2,1,6
"atm,finance",vtm,8,0.04,3,4,1
"atm,finance",please,8,-0.1,2,3,3
"atm,finance",mrt,7,0.1,3,0,4
"atm,finance",posb,7,0.04,1,1,5
"supermarket,grocery_or_supermarket,storage,store,food",cold storage,5,0.0,0,0,5
"supermarket,grocery_or_supermarket,storage,store,food",novena,4,0.06,1,0,3
"supermarket,grocery_or_supermarket,storage,store,food",cs,3,0.0,0,0,3
"supermarket,grocery_or_supermarket,storage,store,food",square mall,2,0.01,0,0,2
"supermarket,grocery_or_supermarket,storage,store,food",novena mrt,2,0.12,1,0,1
"supermarket,grocery_or_supermarket,storage,store,food",supermarket options,1,-0.01,0,0,1
"supermarket,grocery_or_supermarket,storage,store,food",slight disadvantage,1,-0.01,0,0,1
"supermarket,grocery_or_supermarket,storage,store,food",donki,1,-0.01,0,0,1
"supermarket,grocery_or_supermarket,storage,store,food",fairprice,1,-0.01,0,0,1
"supermarket,grocery_or_supermarket,storage,store,food",1km radius,1,-0.01,0,0,1
transit_station,singapore,49,0.22,32,4,13
transit_station,bus,34,0.03,10,6,18
transit_station,sentosa,26,0.2,20,1,5
transit_station,nice,26,0.48,25,0,1
transit_station,mrt,16,0.16,8,0,8
transit_station,cable car,10,0.1,6,0,4
transit_station,clean,9,0.3,7,0,2
transit_station,’ s,9,0.15,4,1,4
transit_station,bus stops,8,0.08,4,0,4
transit_station,chinatown,8,0.14,4,0,4
"doctor,health",thank,265,0.31,242,1,22
"doctor,health",’ s,190,0.16,121,19,50
"doctor,health",highly,140,0.31,133,1,6
"doctor,health",’ m,88,0.2,55,10,23
"doctor,health",dr,83,0.2,61,3,19
"doctor,health",clinic,75,0.2,50,5,20
"doctor,health",’ ve,73,0.22,54,2,17
"doctor,health",overall,52,0.28,50,1,1
"doctor,health",dr lee,51,0.23,35,1,15
"doctor,health",gp,50,0.21,32,5,13
"cafe,store,restaurant,food",’ s,18,0.25,14,0,4
"cafe,store,restaurant,food",nice,11,0.32,9,0,2
"cafe,store,restaurant,food",coffee,9,0.29,8,0,1
"cafe,store,restaurant,food",overall,8,0.29,8,0,0
"cafe,store,restaurant,food",highly,8,0.3,7,1,0
"cafe,store,restaurant,food",’ t,8,0.2,6,1,1
"cafe,store,restaurant,food",fish soup,7,0.06,4,3,0
"cafe,store,restaurant,food",don ’ t,7,0.17,5,0,2
"cafe,store,restaurant,food",will,6,0.24,5,0,1
"cafe,store,restaurant,food",didn ’ t,6,0.15,4,0,2
"subway_station,transit_station",mrt,87,0.19,60,4,23
"subway_station,transit_station",singapore,66,0.17,44,1,21
"subway_station,transit_station",’ s,29,0.14,18,1,10
"subway_station,transit_station",marina,15,0.37,15,0,0
"subway_station,transit_station",chinatown,14,0.17,10,0,4
"subway_station,transit_station",nice,14,0.44,14,0,0
"subway_station,transit_station",orchard,12,0.29,11,0,1
"subway_station,transit_station",peak hours,11,0.08,7,1,3
"subway_station,transit_station",clean,9,0.25,8,0,1
"subway_station,transit_station",circle line,9,0.17,5,0,4
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",cs,2,0.27,2,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",raffles,2,0.33,2,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",brie,2,-0.3,0,2,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",used,1,0.27,1,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",jason,1,0.27,1,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",marketplace,1,0.27,1,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",dairy,1,0.27,1,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",farm group,1,0.27,1,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",core things,1,0.27,1,0,0
"storage,supermarket,grocery_or_supermarket,restaurant,food,store",fresh outlets,1,0.27,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",’ s,2,-0.1,0,2,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",dfs duty free,1,0.15,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",departure gates,1,0.15,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",harborfront cruise centre,1,0.15,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",beauty products,1,0.15,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",free prices,1,0.15,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",n't bank,1,0.15,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",aircon,1,0.25,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",outside temperature,1,0.25,1,0,0
"department_store,shopping_mall,jewelry_store,travel_agency,clothing_store,store",dfs,1,0.16,1,0,0
"pharmacy,store,health",’ s,10,0.11,5,1,4
"pharmacy,store,health",singapore,5,0.06,1,0,4
"pharmacy,store,health",pharmacy,5,0.14,4,0,1
"pharmacy,store,health",please,5,-0.03,1,1,3
"pharmacy,store,health",unity,4,0.03,2,1,1
"pharmacy,store,health",don ’ t,4,0.12,2,0,2
"pharmacy,store,health",guardian,4,0.25,3,0,1
"pharmacy,store,health",store,4,-0.14,0,1,3
"pharmacy,store,health",good service,4,0.61,4,0,0
"pharmacy,store,health",malay,3,-0.08,0,2,1
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",korean,8,0.04,0,0,8
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",kimchi soup,3,0.04,0,0,3
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",spicy chicken,2,0.03,0,0,2
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",solid spot,1,0.08,0,0,1
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",overall,1,0.08,0,0,1
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",decent option,1,0.08,0,0,1
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",chicken i,1,0.28,1,0,0
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",singapore,1,0.28,1,0,0
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",side,1,0.28,1,0,0
"meal_takeaway,grocery_or_supermarket,meal_delivery,restaurant,food,store",free flow,1,0.28,1,0,0
"bakery,store,food",’ s,7,0.35,7,0,0
"bakery,store,food",singapore,6,0.21,5,0,1
"bakery,store,food",thank,6,0.42,6,0,0
"bakery,store,food",’ ve,5,0.4,5,0,0
"bakery,store,food",love,4,0.26,4,0,0
"bakery,store,food",susucre,4,0.41,4,0,0
"bakery,store,food",’ re,3,0.24,2,0,1
"bakery,store,food",birthday cake,3,0.14,2,1,0
"bakery,store,food",alisah,3,0.37,3,0,0
"bakery,store,food",bee bee,3,0.01,0,0,3
"bar,meal_takeaway,restaurant,food",bull market,5,0.26,5,0,0
"bar,meal_takeaway,restaurant,food",’ m,4,0.3,4,0,0
"bar,meal_takeaway,restaurant,food",a5 hokkaido snow beef,4,0.2,4,0,0
"bar,meal_takeaway,restaurant,food",tried,3,0.27,3,0,0
"bar,meal_takeaway,restaurant,food",came,2,0.04,1,0,1
"bar,meal_takeaway,restaurant,food",bull market noodle,2,0.23,2,0,0
"bar,meal_takeaway,restaurant,food",singapore,2,0.26,2,0,0
"bar,meal_takeaway,restaurant,food",’ s,2,0.27,2,0,0
"bar,meal_takeaway,restaurant,food",bull charge,2,0.28,2,0,0
"bar,meal_takeaway,restaurant,food",🌟 🐂,2,0.23,2,0,0
"restaurant,meal_takeaway,food",’ s,19,0.2,17,0,2
"restaurant,meal_takeaway,food",overall,13,0.18,10,1,2
"restaurant,meal_takeaway,food",will,8,0.25,7,1,0
"restaurant,meal_takeaway,food",ordered,7,0.25,6,1,0
"restaurant,meal_takeaway,food",’ re,6,0.28,6,0,0
"restaurant,meal_takeaway,food",’ ve,5,0.24,5,0,0
"restaurant,meal_takeaway,food",roast pork,4,0.24,4,0,0
"restaurant,meal_takeaway,food",vanakam india,4,0.35,4,0,0
"restaurant,meal_takeaway,food",taste,3,0.21,2,1,0
"restaurant,meal_takeaway,food",chicken schnitzel,3,0.08,1,1,1
"bus_station,transit_station",bus,28,-0.07,2,10,16
"bus_station,transit_station",singapore,15,0.06,6,1,8
"bus_station,transit_station",bus service,9,0.01,1,0,8
"bus_station,transit_station",’ s,8,-0.03,0,2,6
"bus_station,transit_station",peak hours,8,0.07,4,1,3
"bus_station,transit_station",sbs,7,0.03,3,1,3
"bus_station,transit_station",changi,6,-0.04,1,0,5
"bus_station,transit_station",hawker centre,5,0.09,2,0,3
